X,Y,NROBARRIO,BARRIO,CODBA
-56.185591486504912,-34.814766817510041,32,MANGA TOLEDO CHICO,MT
-56.185405170170796,-34.81439325919083,32,MANGA TOLEDO CHICO,MT
-56.185465664572938,-34.814154219273803,32,MANGA TOLEDO CHICO,MT
-56.185382859290804,-34.81395163657843,32,MANGA TOLEDO CHICO,MT
-56.185566594225435,-34.81369873047904,32,MANGA TOLEDO CHICO,MT
-56.185483781671557,-34.813577273697142,32,MANGA TOLEDO CHICO,MT
-56.185749889531508,-34.81325653169727,32,MANGA TOLEDO CHICO,MT
-56.185851503948854,-34.812967799376651,32,MANGA TOLEDO CHICO,MT
-56.185602963996573,-34.812495261868712,32,MANGA TOLEDO CHICO,MT
-56.185273508022561,-34.812360974735938,32,MANGA TOLEDO CHICO,MT
-56.184944460725802,-34.812325839389203,32,MANGA TOLEDO CHICO,MT
-56.184676834572542,-34.812277010567882,32,MANGA TOLEDO CHICO,MT
-56.18422541495508,-34.811967288604215,32,MANGA TOLEDO CHICO,MT
-56.183687295504583,-34.811585694629748,32,MANGA TOLEDO CHICO,MT
-56.183449635663656,-34.811347485890778,32,MANGA TOLEDO CHICO,MT
-56.183459190154579,-34.811095067667367,32,MANGA TOLEDO CHICO,MT
-56.183642417295054,-34.810634844065447,32,MANGA TOLEDO CHICO,MT
-56.183724024254687,-34.810463350951721,32,MANGA TOLEDO CHICO,MT
-56.183640830109375,-34.810247247019632,32,MANGA TOLEDO CHICO,MT
-56.183619840209566,-34.810125616649039,32,MANGA TOLEDO CHICO,MT
-56.183762164474544,-34.809769167597615,32,MANGA TOLEDO CHICO,MT
-56.184048961625983,-34.809497948423378,32,MANGA TOLEDO CHICO,MT
-56.184274773254067,-34.80942971353101,32,MANGA TOLEDO CHICO,MT
-56.184562410339495,-34.809446938443479,32,MANGA TOLEDO CHICO,MT
-56.18484933338793,-34.809207265992384,32,MANGA TOLEDO CHICO,MT
-56.185157524648091,-34.809156827124745,32,MANGA TOLEDO CHICO,MT
-56.185567318528214,-34.808898781148464,32,MANGA TOLEDO CHICO,MT
-56.185669281111089,-34.80869568071536,32,MANGA TOLEDO CHICO,MT
-56.18550437873148,-34.808542904868133,32,MANGA TOLEDO CHICO,MT
-56.185297949113554,-34.808340668093003,32,MANGA TOLEDO CHICO,MT
-56.185070751421193,-34.808070884123602,32,MANGA TOLEDO CHICO,MT
-56.184987685922913,-34.807886329639771,32,MANGA TOLEDO CHICO,MT
-56.185048444355452,-34.807629260967452,32,MANGA TOLEDO CHICO,MT
-56.184945166287783,-34.807512367908586,32,MANGA TOLEDO CHICO,MT
-56.184554268549903,-34.80746388334682,32,MANGA TOLEDO CHICO,MT
-56.184265381224783,-34.807140186144004,32,MANGA TOLEDO CHICO,MT
-56.183955479166947,-34.806771476856447,32,MANGA TOLEDO CHICO,MT
-56.183687576278153,-34.806650534571126,32,MANGA TOLEDO CHICO,MT
-56.183276183866994,-34.806516470032946,32,MANGA TOLEDO CHICO,MT
-56.183069488435173,-34.80624662515514,32,MANGA TOLEDO CHICO,MT
-56.182822218167907,-34.806076046599053,32,MANGA TOLEDO CHICO,MT
-56.182718742761459,-34.805909575179356,32,MANGA TOLEDO CHICO,MT
-56.18269680664411,-34.805639216264659,32,MANGA TOLEDO CHICO,MT
-56.182798753948902,-34.805431611161325,32,MANGA TOLEDO CHICO,MT
-56.18290099532981,-34.805296117114764,32,MANGA TOLEDO CHICO,MT
-56.18314749942315,-34.805196277810552,32,MANGA TOLEDO CHICO,MT
-56.183496712929553,-34.80515925005956,32,MANGA TOLEDO CHICO,MT
-56.183742929752611,-34.805072931344341,32,MANGA TOLEDO CHICO,MT
-56.184133002690565,-34.804923112977185,32,MANGA TOLEDO CHICO,MT
-56.184176530556641,-34.804877921575397,32,MANGA TOLEDO CHICO,MT
-56.184244554305131,-34.804810126820271,32,MANGA TOLEDO CHICO,MT
-56.184480956775346,-34.804579610065034,32,MANGA TOLEDO CHICO,MT
-56.184521252767432,-34.80441273861581,32,MANGA TOLEDO CHICO,MT
-56.184294123953819,-34.80415647377464,32,MANGA TOLEDO CHICO,MT
-56.18400477851079,-34.803801228017832,32,MANGA TOLEDO CHICO,MT
-56.184004095107305,-34.803634470971296,32,MANGA TOLEDO CHICO,MT
-56.184065278495332,-34.803481062400529,32,MANGA TOLEDO CHICO,MT
-56.184434844832687,-34.80341242622324,32,MANGA TOLEDO CHICO,MT
-56.184825167909551,-34.803325702916545,32,MANGA TOLEDO CHICO,MT
-56.18509166396332,-34.803189747802953,32,MANGA TOLEDO CHICO,MT
-56.185295781124132,-34.802833123760109,32,MANGA TOLEDO CHICO,MT
-56.185582122638181,-34.802458241065722,32,MANGA TOLEDO CHICO,MT
-56.185847983287971,-34.802169048091677,32,MANGA TOLEDO CHICO,MT
-56.18609370559907,-34.801965544019566,32,MANGA TOLEDO CHICO,MT
-56.186277958118517,-34.801762212002309,32,MANGA TOLEDO CHICO,MT
-56.186317468193586,-34.801406048111602,32,MANGA TOLEDO CHICO,MT
-56.186501997995165,-34.801270319965262,32,MANGA TOLEDO CHICO,MT
-56.186643531882005,-34.800729082337966,32,MANGA TOLEDO CHICO,MT
-56.186436474838757,-34.800287977899465,32,MANGA TOLEDO CHICO,MT
-56.186476616061633,-34.800085050135749,32,MANGA TOLEDO CHICO,MT
-56.186187907634057,-34.799883045563533,32,MANGA TOLEDO CHICO,MT
-56.185858222584926,-34.799681155172095,32,MANGA TOLEDO CHICO,MT
-56.185857034227325,-34.799392710412775,32,MANGA TOLEDO CHICO,MT
-56.186020495549457,-34.799117324974333,32,MANGA TOLEDO CHICO,MT
-56.185855066049733,-34.798914973749881,32,MANGA TOLEDO CHICO,MT
-56.185813123013368,-34.798680727217516,32,MANGA TOLEDO CHICO,MT
-56.18560677312675,-34.798492011331426,32,MANGA TOLEDO CHICO,MT
-56.185297305671376,-34.798222457675607,32,MANGA TOLEDO CHICO,MT
-56.185049221447265,-34.79784907050017,32,MANGA TOLEDO CHICO,MT
-56.184903386377528,-34.797344693912926,32,MANGA TOLEDO CHICO,MT
-56.184888100276154,-34.79711487947278,32,MANGA TOLEDO CHICO,MT
-56.184816369344468,-34.796028892034599,32,MANGA TOLEDO CHICO,MT
-56.185204018138315,-34.795383306466796,32,MANGA TOLEDO CHICO,MT
-56.185903416818562,-34.794736846035995,32,MANGA TOLEDO CHICO,MT
-56.186837586386524,-34.794220424967548,32,MANGA TOLEDO CHICO,MT
-56.187850199753868,-34.793766873663166,32,MANGA TOLEDO CHICO,MT
-56.188158293996558,-34.792801505434056,32,MANGA TOLEDO CHICO,MT
-56.189013148316505,-34.792023885072446,32,MANGA TOLEDO CHICO,MT
-56.189634998748012,-34.791382129419802,32,MANGA TOLEDO CHICO,MT
-56.19064641122953,-34.79073475694041,32,MANGA TOLEDO CHICO,MT
-56.191191104377033,-34.790345604964898,32,MANGA TOLEDO CHICO,MT
-56.19118895535469,-34.78983181225064,32,MANGA TOLEDO CHICO,MT
-56.191498600119274,-34.789249526414125,32,MANGA TOLEDO CHICO,MT
-56.191261147987831,-34.788479504328585,32,MANGA TOLEDO CHICO,MT
-56.190790891204287,-34.787967043338298,32,MANGA TOLEDO CHICO,MT
-56.190477465163028,-34.787643429446447,32,MANGA TOLEDO CHICO,MT
-56.19117468656431,-34.786420047242586,32,MANGA TOLEDO CHICO,MT
-56.190859400782976,-34.785650245490729,32,MANGA TOLEDO CHICO,MT
-56.190778258793728,-34.784942875497201,32,MANGA TOLEDO CHICO,MT
-56.190462437039635,-34.784042370674051,32,MANGA TOLEDO CHICO,MT
-56.190615248124892,-34.783271237445568,32,MANGA TOLEDO CHICO,MT
-56.190845957512792,-34.782432277263219,32,MANGA TOLEDO CHICO,MT
-56.191467626169121,-34.781849103259731,32,MANGA TOLEDO CHICO,MT
-56.190996596294553,-34.781142842971299,32,MANGA TOLEDO CHICO,MT
-56.191146439268941,-34.779664115875079,32,MANGA TOLEDO CHICO,MT
-56.191145365353584,-34.779407219069761,32,MANGA TOLEDO CHICO,MT
-56.190674615698022,-34.778764054612111,32,MANGA TOLEDO CHICO,MT
-56.190592410473947,-34.777799786748766,32,MANGA TOLEDO CHICO,MT
-56.190588385407509,-34.776835296574184,32,MANGA TOLEDO CHICO,MT
-56.190564302957064,-34.776709168509583,32,MANGA TOLEDO CHICO,MT
-56.190428873847111,-34.77599744439609,32,MANGA TOLEDO CHICO,MT
-56.190114443172952,-34.775421438583123,32,MANGA TOLEDO CHICO,MT
-56.1893325081151,-34.774972952694256,32,MANGA TOLEDO CHICO,MT
-56.189330634283102,-34.774522256094926,32,MANGA TOLEDO CHICO,MT
-56.188471863469736,-34.774393980427774,32,MANGA TOLEDO CHICO,MT
-56.188156388138879,-34.773561072136374,32,MANGA TOLEDO CHICO,MT
-56.188153176357936,-34.772785873679965,32,MANGA TOLEDO CHICO,MT
-56.188616935171488,-34.77175696376333,32,MANGA TOLEDO CHICO,MT
-56.189550365222516,-34.771046721142042,32,MANGA TOLEDO CHICO,MT
-56.191027657354006,-34.769947321669967,32,MANGA TOLEDO CHICO,MT
-56.191883139610404,-34.76930038111616,32,MANGA TOLEDO CHICO,MT
-56.192816437549979,-34.768653212079137,32,MANGA TOLEDO CHICO,MT
-56.193827833989758,-34.768073417311427,32,MANGA TOLEDO CHICO,MT
-56.19366830746516,-34.767235568277158,32,MANGA TOLEDO CHICO,MT
-56.193040533602613,-34.766335961025938,32,MANGA TOLEDO CHICO,MT
-56.192261106011316,-34.766468892028342,32,MANGA TOLEDO CHICO,MT
-56.191475738658525,-34.765182122045957,32,MANGA TOLEDO CHICO,MT
-56.191472779640513,-34.764474527402683,32,MANGA TOLEDO CHICO,MT
-56.190922689457672,-34.763448490642709,32,MANGA TOLEDO CHICO,MT
-56.189906972326483,-34.763063770006092,32,MANGA TOLEDO CHICO,MT
-56.188737688196817,-34.763260881399361,32,MANGA TOLEDO CHICO,MT
-56.187959065810055,-34.763583077730821,32,MANGA TOLEDO CHICO,MT
-56.18710421308446,-34.764293087822097,32,MANGA TOLEDO CHICO,MT
-56.185934107253729,-34.764296372476331,32,MANGA TOLEDO CHICO,MT
