58,193
56,1122
54,8703
28,2455
29,8128
60,3228
61,348
62,1932
63,355
35,7823
32,1661
24,2246
25,13560
26,2898
27,2050
20,4028
21,2419
48,5192
49,2824
46,6036
23,29945
44,7027
45,1794
42,8085
43,5374
40,8032
41,19106
1,40617
3,3196
2,104273
5,1998
4,48596
7,13511
6,10030
9,12009
8,19516
39,25075
34,5744
38,6696
15,3831
14,24666
11,6828
10,25824
13,8391
12,613
59,9295
22,1584
17,3980
16,2179
33,8079
18,3611
31,4800
30,278
51,8851
36,163
53,5623
52,10468
19,4540
55,435
37,1907
47,12727
57,1749
50,21228
